,Genus,Family,Order,Subclass,Class,Superclass
Abudefduf_troschelii,Abudefduf,Pomacentridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Acanthurus_xanthopterus,Acanthurus,Acanthuridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Alphestes_immaculatus,Alphestes,Serranidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Anisotremus_interruptus,Anisotremus,Haemulidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Apogon_sp,Anisotremus,Apogonidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Arothron_meleagris,Arothron,Tetraodontidae,Tetraodontiformes,Teleostei,Actinopterygii,Gnathostomata
Azurina_atrilobata,Azurina,Pomacentridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Balistes_polylepis,Balistes,Balistidae,Tetraodontiformes,Teleostei,Actinopterygii,Gnathostomata
Bodianus_diplotaenia,Bodianus,Labridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Bodianus_pulcher,Bodianus,Labridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Canthigaster_punctatissima,Canthigaster,Tetraodontidae,Tetraodontiformes,Teleostei,Actinopterygii,Gnathostomata
Caranx_caballus,Caranx,Carangidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Caulolatilus_princeps,Caulolatilus,Malacanthidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Cephalopholis_colonus,Cephalopholis,Serranidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Cephalopholis_panamensis,Cephalopholis,Serranidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Chaetodon_humeralis,Chaetodon,Chaetodontidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Chanos_chanos,Chanos,Chanidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Chilomycterus_reticulatus,Chilomycterus,Diodontidae          ,Tetraodontiformes,Teleostei,Actinopterygii,Gnathostomata
Chromis_alta,Chromis,Pomacentridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Chromis_limbaughi,Chromis,Pomacentridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Cirrhitichthys_oxycephalus,Cirrhitichthys,Cirrhitidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Diodon_holocanthus,Diodon,Diodontidae          ,Tetraodontiformes,Teleostei,Actinopterygii,Gnathostomata
Diodon_hystrix,Diodon,Diodontidae          ,Tetraodontiformes,Teleostei,Actinopterygii,Gnathostomata
Epinephelus_labriformis,Epinephelus,Serranidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Epinephelus_quinquefasciatus,Epinephelus,Serranidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Fistularia_commersonii,Fistularia,Fistulariidae,Gasterosteiformes,Teleostei,Actinopterygii,Gnathostomata
Gymnothorax_castaneus,Epinephelus,Serranidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Haemulon_flaviguttatum,Fistularia,Fistulariidae,Syngnathiformes,Teleostei,Actinopterygii,Gnathostomata
Haemulon_maculicauda,Forcipiger,Chaetodontidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Haemulon_sexfasciatum,Gymnothorax,Muraenidae,Anguilliformes,Teleostei,Actinopterygii,Gnathostomata
Halichoeres_dispilus,Haemulon,Haemulidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Halichoeres_melanotis,Haemulon,Haemulidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Halichoeres_nicholsi,Halichoeres,Labridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Halichoeres_sp,Halichoeres,Labridae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Heteroconger_sp,Heteroconger,Congridae,Anguilliformes,Teleostei,Actinopterygii,Gnathostomata
Heterodontus_francisci,Heterodontus,Heterodontidae,Heterodontiformes,Neoselachii,Elasmobranchii,Gnathostomata
Holacanthus_passer,Holacanthus,Pomacanthidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Hoplopagrus_guentherii,Hoplopagrus,Lutjanidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Hypanus_dipterurus,Hypanus,Dasyatidae,Myliobatiformes,Neoselachii,Elasmobranchii,Gnathostomata
Johnrandallia_nigrirostris,Johnrandallia,Chaetodontidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
Kyphosus_elegans,Kyphosus,Kyphosidae,Perciformes,Teleostei,Actinopterygii,Gnathostomata
