"Site","Year","Season","Video.transect","Zone"
"El Bajo","2021","Spring","BAC_11Jun21_10de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_11de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_12de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_13de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_14de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_1de14","Shallow"
"El Bajo","2021","Spring","BAC_11Jun21_2de14","Shallow"
"El Bajo","2021","Spring","BAC_11Jun21_3de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_4de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_5de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_6de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_7de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_8de14","Mesophotic"
"El Bajo","2021","Spring","BAC_11Jun21_9de14","Mesophotic"
"El Bajo","2021","Spring","BAC_25Jun21_1de4","Mesophotic"
"El Bajo","2021","Spring","BAC_25Jun21_2de4","Shallow"
"El Bajo","2021","Spring","BAC_25Jun21_3de4","Mesophotic"
"El Bajo","2021","Spring","BAC_25Jun21_4de4","Mesophotic"
"El Bajo","2021","Spring","BAS_11Jun21_1de7","Mesophotic"
"El Bajo","2021","Spring","BAS_11Jun21_2de7","Mesophotic"
"El Bajo","2021","Spring","BAS_11Jun21_3de7","Shallow"
"El Bajo","2021","Spring","BAS_11Jun21_4de7","Shallow"
"El Bajo","2021","Spring","BAS_11Jun21_5de7","Shallow"
"El Bajo","2021","Spring","BAS_11Jun21_6de7","Shallow"
"El Bajo","2021","Spring","BAS_11Jun21_7de7","Shallow"
"El Bajo","2021","Spring","BAS_25Jun21_1de5","Mesophotic"
"El Bajo","2021","Spring","BAS_25Jun21_2de5","Mesophotic"
"El Bajo","2021","Spring","BAS_25Jun21_3de5","Mesophotic"
"El Bajo","2021","Spring","BAS_25Jun21_4de5","Mesophotic"
"El Bajo","2021","Spring","BAS_25Jun21_5de5","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_1de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_2de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_3de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_4de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_5de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_6de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_7de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_8de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_10Jun21_9de9","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_10de14","Shallow"
"Los Islotes","2021","Spring","ISE_25Jun21_11de14","Shallow"
"Los Islotes","2021","Spring","ISE_25Jun21_12de14","Shallow"
"Los Islotes","2021","Spring","ISE_25Jun21_13de14","Shallow"
"Los Islotes","2021","Spring","ISE_25Jun21_14de14","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_1de14","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_2de14","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_3de14","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_4de14","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_5de14","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_6de14","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_7de14","Mesophotic"
"Los Islotes","2021","Spring","ISE_25Jun21_8de14","Shallow"
