Date,Site,Lat,Long
11/06/2021,EL BAJO CENTRO,24.680553,-110.324539
25/06/2021,EL BAJO CENTRO,24.680553,-110.324539
11/06/2021,EL BAJO SUR,24.70392,-110.301147
25/06/2021,EL BAJO SUR,24.70392,-110.301147
21/04/2022,EL BAJO SUR,24.701944,-110.301666
26/10/2022,EL BAJO SUR,24.7016,-110.301
21/04/2022,EL BAJO SUR II,24.700555,-110.303333
10/06/2021,LOS ISLOTES ESTE,24.59989,-110.388601
14/06/2021,LOS ISLOTES ESTE,24.59989,-110.388601
25/06/2021,LOS ISLOTES ESTE,24.59989,-110.388601
19/04/2022,LOS ISLOTES ESTE,24.599722,-110.399166
24/10/2022,LOS ISLOTES ESTE,24.5977,-110.39638
25/06/2021,LOS ISLOTES ESTE II,24.59989,-110.388601
19/04/2022,LOS ISLOTES ESTE II,24.598888,-110.399166
14/06/2021,PUNTA LOBOS,24.47584,-110.28774
25/06/2021,PUNTA LOBOS,24.475131,-110.28925
19/10/2021,PUNTA LOBOS,24.475131,-110.28925
20/04/2022,PUNTA LOBOS,24.477222,-110.289999
25/10/2022,PUNTA LOBOS,24.47472,-110.2888
14/06/2021,PUNTA LOBOS II,24.47584,-110.28774
19/10/2021,PUNTA LOBOS II,24.47584,-110.28774
20/04/2022,PUNTA LOBOS II,24.475833,-110.2875
25/10/2022,PUNTA LOBOS II,24.47305,-110.2875
