,Size,Mobility,Activity,Gregariousness,Position,Diet
Abudefduf_troschelii,3,2,D,4,2,Pk
Acanthurus_xanthopterus,5,3,D,3,1,HD
Alphestes_immaculatus,3,1,N,1,1,IM
Anisotremus_interruptus,5,3,N,1,2,IM
Apogon_sp,2,1,N,3,2,Pk
Arothron_meleagris,4,2,D,1,2,IS
Azurina_atrilobata,2,2,D,4,2,Pk
Balistes_polylepis,5,3,D,1,1,IM
Bodianus_diplotaenia,5,3,D,1,1,IM
Bodianus_pulcher,6,3,D,1,1,IM
Canthigaster_punctatissima,2,1,D,1,1,IS
Caranx_caballus,5,4,D,4,2,FC
Caulolatilus_princeps,6,3,D,1,1,IM
Cephalopholis_colonus,4,4,D,4,2,Pk
Cephalopholis_panamensis,4,2,N,1,1,FC
Chaetodon_humeralis,3,2,D,3,3,OM
Chanos_chanos,6,4,D,4,2,OM
Chilomycterus_reticulatus,5,2,N,1,1,IM
Chromis_alta,2,2,D,1,2,Pk
Chromis_limbaughi,2,1,D,3,1,Pk
Cirrhitichthys_oxycephalus,2,1,D,3,1,FC
Diodon_holocanthus,4,2,N,1,1,IM
Diodon_hystrix,4,2,N,1,1,IM
Epinephelus_labriformis,5,3,N,1,1,FC
Epinephelus_quinquefasciatus,6,4,D,1,1,FC
Fistularia_commersonii,6,4,D,1,2,FC
Gymnothorax_castaneus,6,1,N,1,1,FC
Haemulon_flaviguttatum,4,3,N,3,1,FC
Haemulon_maculicauda,3,3,N,4,1,FC
Haemulon_sexfasciatum,5,3,N,3,1,FC
Halichoeres_dispilus,3,2,D,1,1,IM
Halichoeres_melanotis,2,2,D,1,1,IM
Halichoeres_nicholsi,4,2,D,1,1,IM
Halichoeres_sp,3,2,D,1,1,IM
Heteroconger_sp,5,1,D,3,1,Pk
Heterodontus_francisci,6,2,N,1,1,IM
Holacanthus_passer,4,2,D,3,2,IS
Hoplopagrus_guentherii,6,4,N,1,1,FC
Hypanus_dipterurus,6,2,D,1,1,IM
Johnrandallia_nigrirostris,3,2,D,3,2,OM
Kyphosus_elegans,5,3,D,4,2,HD
Kyphosus_sp,5,3,D,3,2,HD
Kyphosus_vaigiensis,5,4,D,3,2,IM
Liopropoma_fasciatum,3,1,N,1,1,IM
Lutjanus_argentiventris,5,3,N,4,1,FC
Lutjanus_guttatus,5,3,N,3,2,IM
Lutjanus_jordani,5,4,N,3,1,FC
Lutjanus_novemfasciatus,6,4,N,1,1,FC
Lutjanus_sp,5,3,N,3,1,FC
Lutjanus_viridis,3,4,N,4,2,FC
Microspathodon_dorsalis,4,1,D,1,1,HD
Mulloidichthys_dentatus,4,2,N,3,1,IM
Mycteroperca_jordani,6,4,D,1,1,FC
Mycteroperca_prionura,6,3,N,1,1,FC
Mycteroperca_rosacea,6,3,N,1,1,FC
Mycteroperca_sp,6,3,N,1,1,FC
Myripristis_leiognathus,3,2,N,3,2,IM
Ophioblennius_steindachneri,3,1,D,1,1,OM
Ostracion_meleagris,3,2,D,1,1,OM
Oxycirrhites_typus,2,1,D,1,1,Pk
Paralabrax_auroguttatus,5,3,D,1,1,FC
Plagiotremus_azaleus,2,1,D,1,1,FC
Pomacanthus_zonipectus,4,2,D,1,2,IS
Prionurus_laticlavius,5,3,D,4,1,HD
Pristigenys_serrula,4,2,N,1,2,FC
Prognathodes_falcifer,2,2,D,1,2,IS
Pronotogrammus_multifasciatus,3,1,D,1,2,Pk
Pseudobalistes_naufragium,6,3,D,1,2,IM
Pseudupeneus_grandisquamis,3,3,N,3,2,IM
Rypticus_bicolor,3,1,N,1,1,FC
Rypticus_sp,3,1,N,1,1,FC
Sardinops_sagax,4,4,D,4,3,Pk
Scarus_ghobban,6,3,D,3,1,HD
Scarus_perrico,5,3,D,3,1,HD
Scarus_rubroviolaceus,5,3,D,3,1,HD
Scarus_sp,5,3,D,3,3,HD
Scorpaena_guttata,4,1,N,1,1,FC
Scorpaena_sp,4,1,N,1,1,FC
Seriola_lalandi,6,4,D,4,2,FC
Seriola_rivoliana,6,4,D,3,2,FC
Serranus_psittacinus,3,3,N,1,1,FC
Sphyraena_argentea,6,4,N,3,3,FC
Squatina_californica,6,1,N,1,1,FC
Stegastes_flavilatus,2,1,D,3,1,OM
Stegastes_rectifraenum,2,1,D,3,1,OM
Stegastes_sp,2,1,D,3,1,OM
Sufflamen_verres,4,3,D,3,1,IM
Synodus_lacertinus,3,1,N,1,1,FC
Thalassoma_lucasanum,2,2,D,3,1,IM
Urobatis_concentricus,4,2,N,1,1,IM
Urobatis_halleri,5,2,N,1,1,IM
Urobatis_maculatus,4,2,N,1,1,IM
Urobatis_sp,4,2,N,1,1,IM
Xyrichtys_sp,2,2,D,1,1,IM
Zanclus_cornutus,3,2,D,3,1,IS
Zapteryx_exasperata,6,1,N,1,1,IM
